"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","86","88","1","201.127716","0","88"
"/InterchangeAssets/gltf/M_Default.M_Default","49","304","318","7","947.206604","0","318"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","49","264","268","6","656.566650","0","268"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","49","96","96","2","788.749268","0","96"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","49","264","268","6","693.989746","0","268"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","49","178","182","6","725.493408","0","182"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","49","272","284","6","746.493835","0","284"
"/Engine/Engine_MI_Shaders/M_Shader_SimpleTranslucent.M_Shader_SimpleTranslucent","49","12","12","1","8.211889","0","12"
"/Game/kool/seelampmerid.seelampmerid","49","14","14","1","22.815691","0","14"
"/Fab/Materials/Standard/M_MS_Srf.M_MS_Srf","49","27","27","1","45.981571","0","27"
"/Game/kool/klaas.klaas","49","24","24","1","66.841278","0","24"
"/Game/kool/seinapeegel.seinapeegel","49","14","14","1","21.784163","0","14"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","49","4","4","1","7.822617","0","4"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","49","4","4","1","0.000000","0","4"
"/Game/kool/uste_pildid/IMG_2196_Mat.IMG_2196_Mat","49","14","14","1","42.316628","0","14"
"/Game/plswork/Steel_-_Satin.Steel_-_Satin","49","14","14","1","0.000000","0","14"
"/Game/kool/uste_pildid/IMG_2182_Mat.IMG_2182_Mat","49","14","14","1","22.579128","0","14"
"/Game/kool/uste_pildid/lagi2x_Mat.lagi2x_Mat","49","30","31","1","0.000000","0","31"
"/Game/kool/parisosad/Steel_-_Satin.Steel_-_Satin","49","14","14","1","0.000000","0","14"
